"Local Authority","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"Carlow County",6,2,7,12,"","","","","","","",""
"Cavan County",2,5,7,24,"","","","","","","",""
"Clare County",8,12,16,25,"","","","","","","",""
"Cork City",12,4,1,14,"","","","","","","",""
"Cork County",30,25,35,97,"","","","","","","",""
"Donegal County",10,19,33,20,"","","","","","","",""
"Dublin City",10,3,4,15,"","","","","","","",""
"Dun-Laoghaire Rathdown",6,4,8,32,"","","","","","","",""
"Fingal County",8,7,3,23,"","","","","","","",""
"Galway City",3,0,5,5,"","","","","","","",""
"Galway County",22,16,29,56,"","","","","","","",""
"Kerry County",10,12,17,33,"","","","","","","",""
"Kildare County",8,10,18,44,"","","","","","","",""
"Kilkenny County",4,8,13,27,"","","","","","","",""
"Laois County",4,6,4,20,"","","","","","","",""
"Leitrim County",3,2,3,4,"","","","","","","",""
"Limerick City and County",12,7,16,44,"","","","","","","",""
"Longford County",4,2,8,11,"","","","","","","",""
"Louth County",9,7,14,20,"","","","","","","",""
"Mayo County",8,8,8,38,"","","","","","","",""
"Meath County",19,19,33,57,"","","","","","","",""
"Monaghan County",5,0,0,36,"","","","","","","",""
"Offaly County",3,2,8,32,"","","","","","","",""
"Roscommon County",3,3,13,23,"","","","","","","",""
"Sligo County",0,2,0,13,"","","","","","","",""
"South Dublin County",11,4,4,22,"","","","","","","",""
"Tipperary County",7,7,14,21,"","","","","","","",""
"Waterford City and County",6,7,8,22,"","","","","","","",""
"Westmeath County",9,4,12,26,"","","","","","","",""
"Wexford County",14,9,16,50,"","","","","","","",""
"Wicklow County",3,0,4,41,"","","","","","","",""
"Dublin Local Authorities",35,18,19,92,"","","","","","","",""
"Greater Dublin Area",74,54,88,254,"","","","","","","",""
